0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x12a1ccf979d65333e8e27ede047b476736b584a6,4000000000,21000,1060612530000000000,1546865209
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0xb82c42379712423eab4c9fa3be28ffe44d3750d1,4000000000,21000,22143480000000000,1546370502
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0xee18e156a020f2b2b2dcdec3a9476e61fbde1e48,6000000000,21000,1908508158508158508,1546244240
0x9d4c91c732686e8fb5d05119b3c269b96b318464,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,4000000000,21000,2392605600000000000,1546208226
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x74098f43c18eb1dd21a36bcecd0bca10363309e0,9000000000,21000,747990769475610727,1545758819
0x45f5631d2b1201e20bdbf0d03f766e61a7d457c3,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,12000000000,21000,944049820000000000,1545758374
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x121c73fd8417a0618e0e5a92212d74c5975a1b0a,8000000000,21000,14260249554367201,1545683344
0x3939333952954d01e7a9dc3b47c4f9b5ef4c0ed2,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,6000000000,21000,396672690000000000,1545491290
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0xf9acdeeb74fc4f2bc68974aae1eeab1d5cbb2f27,10000000000,21000,85689802913453299,1543768864
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0xddb2f18b6f3ed302751f347a8a0806f0fc493028,10000000000,21000,86058519793459553,1543753190
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0xddb2f18b6f3ed302751f347a8a0806f0fc493028,11000000000,21000,89653935807781962,1543150382
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x303c1cbbd568e36eb0b706bf121f5fbbacd63e42,6000000000,21000,65678850000000000,1543136499
